Comment,Designator,Footprint,LCSC
Buzzer,BZ1,Buzzer_Murata_PKLCS1212E,C113159
91k,R11,R_0805_2012Metric,C137484
10k,"R16,R9",R_0805_2012Metric,C17414
1k,"R13,R14,R17,R3,R4,R6",R_0805_2012Metric,C17513
22k,R5,R_0805_2012Metric,C17560
330,R12,R_0805_2012Metric,C17630
47k,R10,R_0805_2012Metric,C17713
PWR,D1,LED_0805_2012Metric,C2296
2M,"R7,R8",R_0805_2012Metric,C26112
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,C2765186
5K1,"R1,R2",R_0805_2012Metric,C27834
1.65K,R15,R_0805_2012Metric,C322308
TP4054,U5,TSOT-23-5,C32574
SW_Push,SW1,SW_SPST_TL3305A,C480315
0.1uF,"C1,C2,C3,C4,C5,C6",C_0805_2012Metric,C49678
STM32G030FxP,U3,TSSOP-20_4.4x6.5mm_P0.65mm,C529330
XC6206P332MR,U1,SOT-23,C5446
LM321,U4,SOT-23-5,C7972
LED,"D2,D3,D4",LED_0805_2012Metric,C84256
MMBT3904,Q1,SOT-23,C909754
