Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_Murata_PKLCS1212E,70.9422,-123.0002,180.0,top
C1,0.1uF,C_0805_2012Metric,99.06,-155.194,180.0,top
C2,0.1uF,C_0805_2012Metric,96.266,-157.988,90.0,top
C3,0.1uF,C_0805_2012Metric,96.774,-138.43,-90.0,top
C4,0.1uF,C_0805_2012Metric,79.9509,-162.6362,-90.0,top
C5,0.1uF,C_0805_2012Metric,108.204,-132.08,180.0,top
C6,0.1uF,C_0805_2012Metric,91.948,-157.988,90.0,top
D1,PWR,LED_0805_2012Metric,66.1185,-143.764,180.0,top
D2,LED,LED_0805_2012Metric,113.538,-146.1285,90.0,top
D3,LED,LED_0805_2012Metric,113.538,-141.224,90.0,top
D4,LED,LED_0805_2012Metric,113.538,-136.398,90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,89.407996,-166.4,180.0,top
Q1,MMBT3904,SOT-23,68.4549,-112.3442,180.0,top
R1,5K1,R_0805_2012Metric,95.758,-168.148,90.0,top
R2,5K1,R_0805_2012Metric,83.058,-168.148,90.0,top
R3,1k,R_0805_2012Metric,90.4494,-117.3734,90.0,top
R4,1k,R_0805_2012Metric,92.456,-117.3734,90.0,top
R5,22k,R_0805_2012Metric,68.4549,-109.2962,0.0,top
R6,1k,R_0805_2012Metric,72.2649,-112.3442,0.0,top
R7,2M,R_0805_2012Metric,76.4794,-159.1837,-90.0,top
R8,2M,R_0805_2012Metric,74.4474,-159.1837,90.0,top
R9,10k,R_0805_2012Metric,108.204,-134.112,0.0,top
R10,47k,R_0805_2012Metric,96.774,-162.814,0.0,top
R11,91k,R_0805_2012Metric,96.774,-164.846,180.0,top
R12,330,R_0805_2012Metric,66.1185,-141.732,0.0,top
R13,1k,R_0805_2012Metric,111.506,-144.6045,-90.0,top
R14,1k,R_0805_2012Metric,111.506,-139.7,-90.0,top
R15,1.65K,R_0805_2012Metric,90.678,-155.194,0.0,top
R16,10k,R_0805_2012Metric,88.9,-153.162,180.0,top
R17,1k,R_0805_2012Metric,111.506,-134.874,-90.0,top
SW1,SW_Push,SW_SPST_TL3305A,108.966,-126.238,90.0,top
U1,XC6206P332MR,SOT-23,99.314,-157.988,180.0,top
U3,STM32G030FxP,TSSOP-20_4.4x6.5mm_P0.65mm,101.854,-138.938,270.0,top
U4,LM321,SOT-23-5,76.6489,-162.6362,180.0,top
U5,TP4054,TSOT-23-5,88.646,-157.988,180.0,top
