Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ1,Buzzer,Buzzer_Murata_PKLCS1212E,78.7654,-141.5796,90.0,top
C1,0.1uF,C_0805_2012Metric,87.7062,-164.7444,90.0,top
C2,0.1uF,C_0805_2012Metric,83.6422,-169.2402,-90.0,top
C3,0.1uF,C_0805_2012Metric,100.4316,-146.0754,0.0,top
C4,0.1uF,C_0805_2012Metric,103.7844,-150.6728,-90.0,top
C5,0.1uF,C_0805_2012Metric,93.6498,-146.177,0.0,top
C6,0.1uF,C_0805_2012Metric,87.6808,-151.2316,90.0,top
C7,0.1uF,C_0805_2012Metric,87.4522,-157.8,90.0,top
C8,0.1uF,C_0805_2012Metric,99.9998,-161.8996,180.0,top
C9,0.1uF,C_0805_2012Metric,107.867,-141.8858,180.0,top
D1,PWR,LED_0805_2012Metric,89.9414,-173.7868,180.0,top
D2,LED,LED_0805_2012Metric,72.8472,-152.9334,90.0,top
D3,LED,LED_0805_2012Metric,72.8472,-156.6672,90.0,top
D4,LED,LED_0805_2012Metric,72.8472,-160.2994,90.0,top
F1,Fuse 200mA,Fuse_1206_3216Metric,90.0176,-164.6936,90.0,top
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,97.207982,-170.8404,180.0,top
Q1,MMBT3904,SOT-23,87.2744,-143.3068,0.0,top
R1,5K1,R_0805_2012Metric,103.9622,-170.8912,90.0,top
R2,5K1,R_0805_2012Metric,90.1446,-168.8827,90.0,top
R3,330,R_0805_2012Metric,85.8012,-173.3804,180.0,top
R4,22k,R_0805_2012Metric,87.503,-146.1262,0.0,top
R5,1k,R_0805_2012Metric,79.6544,-150.6982,0.0,top
R6,1k,R_0805_2012Metric,86.3092,-139.7527,90.0,top
R7,1k,R_0805_2012Metric,79.6563,-152.7302,0.0,top
R8,1k,R_0805_2012Metric,79.6544,-154.7622,0.0,top
R9,1k,R_0805_2012Metric,100.0506,-117.2972,0.0,top
R10,1k,R_0805_2012Metric,100.0487,-119.4054,0.0,top
R11,10k,R_0805_2012Metric,107.867,-139.8284,0.0,top
R12,0R,R_0805_2012Metric,97.3836,-138.557,0.0,top
R13,1k,R_0805_2012Metric,93.9142,-138.557,0.0,top
SW1,SW_Push,SW_SPST_TL3305A,114.344,-143.4098,180.0,top
U1,XC6206P332MR,SOT-23,84.6074,-165.7096,180.0,top
U2,STM32L053R8Tx,LQFP-64_10x10mm_P0.5mm,95.7326,-154.1018,180.0,top
